EngSize,Age,Gender,Marital,exp,Owner,vAge,Garage,AntiTFD,import,Loss
2,56,男,已婚,20,公司,10,有,有防盗装置,进口,0
1.8,41,男,已婚,20,公司,9,有,无防盗装置,国产,0
2,44,男,未婚,20,公司,8,有,有防盗装置,国产,0
1.6,56,男,已婚,20,公司,7,有,有防盗装置,国产,0
1.8,45,男,已婚,20,公司,7,无,无防盗装置,国产,0
1.8,40,男,已婚,20,公司,7,有,无防盗装置,国产,0
1.8,54,男,已婚,20,公司,6,无,无防盗装置,国产,0
1.8,54,男,已婚,20,公司,6,有,无防盗装置,进口,0
1.8,45,男,已婚,20,政府,6,无,无防盗装置,国产,0
2,43,男,已婚,20,公司,6,有,无防盗装置,进口,288
1.8,40,男,已婚,20,公司,6,有,无防盗装置,国产,0
1.6,50,男,已婚,20,政府,5,无,有防盗装置,进口,0
2.4,56,男,已婚,20,公司,4,有,有防盗装置,进口,0
1.6,46,男,已婚,20,公司,4,有,无防盗装置,国产,0
1.8,39,男,已婚,20,公司,4,有,无防盗装置,国产,0
1.8,41,男,已婚,20,政府,3,有,无防盗装置,国产,0
1.8,41,男,已婚,20,政府,2,有,无防盗装置,国产,0
1.8,38,男,已婚,20,公司,2,有,无防盗装置,国产,0
1.8,57,男,已婚,20,私人,1,有,无防盗装置,国产,0
2,49,男,已婚,20,私人,1,有,无防盗装置,国产,0
2,49,男,已婚,20,政府,1,无,无防盗装置,国产,0
2,45,男,已婚,20,私人,1,有,无防盗装置,国产,0
1.8,44,男,已婚,20,私人,1,有,有防盗装置,国产,0
1.8,43,男,已婚,20,公司,1,有,无防盗装置,国产,0
1.8,42,男,已婚,20,私人,1,有,无防盗装置,国产,224
1.8,41,男,已婚,20,公司,1,有,无防盗装置,国产,0
1.8,41,男,已婚,20,私人,1,有,无防盗装置,进口,0
1.8,40,男,已婚,20,私人,1,有,无防盗装置,国产,256
1.8,47,男,已婚,19,公司,9,有,无防盗装置,国产,0
3,43,男,已婚,19,公司,9,有,无防盗装置,进口,0
1.6,40,男,已婚,19,公司,9,有,无防盗装置,国产,0
1.8,50,男,已婚,19,公司,8,无,有防盗装置,进口,0
2,41,男,已婚,19,公司,8,有,无防盗装置,进口,0
1.8,47,男,已婚,19,公司,7,有,无防盗装置,国产,0
1.8,48,男,已婚,19,公司,5,有,无防盗装置,进口,0
1.8,46,男,已婚,19,公司,5,有,无防盗装置,国产,0
1.8,40,男,已婚,19,公司,5,无,无防盗装置,国产,0
1.6,44,男,已婚,19,私人,4,有,无防盗装置,国产,0
1.8,39,男,已婚,19,公司,4,有,无防盗装置,国产,0
2,41,男,已婚,19,私人,3,有,无防盗装置,进口,0
1.6,40,男,已婚,19,私人,3,有,无防盗装置,国产,0
2,52,男,已婚,19,公司,2,有,无防盗装置,国产,0
1.2,54,男,已婚,19,公司,1,有,无防盗装置,国产,240
2,49,男,已婚,19,政府,1,有,无防盗装置,进口,0
2,45,男,已婚,19,私人,1,有,无防盗装置,国产,0
1.8,44,男,已婚,19,私人,1,有,无防盗装置,国产,0
3,44,男,已婚,19,政府,1,有,无防盗装置,进口,328
1,43,男,已婚,19,公司,1,无,无防盗装置,国产,0
1.8,41,男,已婚,19,公司,1,有,无防盗装置,国产,2032
