account_id,district_id,frequency,date
576,55,月结,1993-01-01
3818,74,月结,1993-01-01
704,55,月结,1993-01-01
2378,16,月结,1993-01-01
2632,24,月结,1993-01-02
1972,77,月结,1993-01-02
1539,1,交易之后马上,1993-01-03
793,47,月结,1993-01-03
2484,74,月结,1993-01-03
1695,76,月结,1993-01-03
1726,48,月结,1993-01-03
2881,70,月结,1993-01-04
2357,19,月结,1993-01-04
2177,62,月结,1993-01-04
485,6,交易之后马上,1993-01-04
652,21,月结,1993-01-05
9635,70,月结,1993-01-05
1844,44,月结,1993-01-06
1926,37,月结,1993-01-06
2393,10,月结,1993-01-07
3510,41,月结,1993-01-07
1276,36,月结,1993-01-07
1637,1,月结,1993-01-08
3871,26,月结,1993-01-08
192,55,月结,1993-01-08
764,1,月结,1993-01-08
2087,7,周结,1993-01-08
2122,68,月结,1993-01-08
3592,54,月结,1993-01-08
3487,41,月结,1993-01-08
435,38,月结,1993-01-08
1730,1,月结,1993-01-09
1493,41,月结,1993-01-09
374,38,月结,1993-01-09
2925,1,月结,1993-01-10
866,9,月结,1993-01-10
1628,60,月结,1993-01-10
2379,44,月结,1993-01-10
1979,26,月结,1993-01-11
346,37,月结,1993-01-11
1338,74,月结,1993-01-11
1909,14,月结,1993-01-12
2099,3,周结,1993-01-12
3760,44,月结,1993-01-13
5270,44,月结,1993-01-13
1699,53,月结,1993-01-14
3909,1,月结,1993-01-14
2926,50,月结,1993-01-14
1731,33,月结,1993-01-14
11265,15,月结,1993-01-14
2519,4,月结,1993-01-15
10364,55,月结,1993-01-17
1481,15,月结,1993-01-17
401,32,月结,1993-01-18
4034,1,月结,1993-01-18
2330,54,月结,1993-01-19
1806,40,月结,1993-01-19
3834,54,月结,1993-01-19
1222,66,月结,1993-01-20
212,27,周结,1993-01-20
456,49,月结,1993-01-21
459,47,月结,1993-01-21
772,45,月结,1993-01-21
1019,52,月结,1993-01-21
11295,74,月结,1993-01-21
2970,60,月结,1993-01-22
2676,73,月结,1993-01-22
1536,41,周结,1993-01-22
1179,74,月结,1993-01-23
280,25,月结,1993-01-23
2425,41,月结,1993-01-23
9307,68,月结,1993-01-24
4055,23,月结,1993-01-24
5065,66,月结,1993-01-24
3704,75,月结,1993-01-24
477,1,月结,1993-01-25
5891,54,月结,1993-01-25
1000,77,月结,1993-01-25
