card_id,disp_id,issued,type
1005,9285,1993/11/7,普通卡
104,588,1994/1/19,普通卡
747,4915,1994/2/5,普通卡
70,439,1994/2/8,普通卡
577,3687,1994/2/15,普通卡
377,2429,1994/3/3,普通卡
721,4680,1994/4/5,青年卡
437,2762,1994/6/1,普通卡
188,1146,1994/6/19,普通卡
13,87,1994/6/29,普通卡
732,4763,1994/7/21,普通卡
181,1066,1994/8/19,普通卡
384,2475,1994/9/15,青年卡
309,1946,1994/9/19,普通卡
478,3084,1994/10/9,普通卡
563,3589,1994/10/21,普通卡
369,2363,1994/11/8,普通卡
376,2428,1994/11/10,普通卡
483,3115,1994/11/24,普通卡
174,1039,1994/12/4,青年卡
658,4251,1994/12/25,普通卡
763,5138,1994/12/30,青年卡
778,5275,1995/1/2,普通卡
1039,9837,1995/1/7,普通卡
477,3082,1995/1/16,青年卡
168,1018,1995/1/24,普通卡
314,1999,1995/1/27,青年卡
468,3023,1995/1/30,普通卡
208,1246,1995/2/8,金卡
766,5200,1995/2/11,普通卡
464,2984,1995/2/21,普通卡
497,3184,1995/3/3,普通卡
166,999,1995/3/5,普通卡
15,114,1995/3/5,普通卡
503,3225,1995/3/8,普通卡
1038,9787,1995/3/30,青年卡
737,4791,1995/4/13,普通卡
418,2623,1995/4/14,普通卡
759,5117,1995/4/18,青年卡
223,1353,1995/4/18,普通卡
5,51,1995/4/24,青年卡
159,946,1995/5/1,普通卡
1223,13231,1995/5/2,青年卡
662,4293,1995/5/9,普通卡
779,5323,1995/5/21,青年卡
1040,9890,1995/5/28,青年卡
545,3458,1995/5/30,普通卡
467,3019,1995/6/5,普通卡
1247,13660,1995/6/13,普通卡
652,4211,1995/6/16,普通卡
559,3573,1995/6/17,普通卡
719,4663,1995/6/24,普通卡
397,2513,1995/6/24,普通卡
107,593,1995/6/27,普通卡
661,4270,1995/7/3,普通卡
484,3116,1995/7/4,普通卡
501,3197,1995/7/9,普通卡
422,2650,1995/7/11,青年卡
705,4555,1995/7/12,普通卡
410,2569,1995/7/20,普通卡
136,778,1995/7/28,普通卡
592,3782,1995/8/7,青年卡
262,1647,1995/8/24,青年卡
18,128,1995/8/25,普通卡
3,41,1995/9/3,金卡
98,537,1995/9/6,普通卡
167,1011,1995/9/15,普通卡
97,531,1995/9/19,青年卡
699,4532,1995/9/26,普通卡
342,2157,1995/9/27,普通卡
713,4627,1995/9/30,普通卡
118,652,1995/10/22,普通卡
783,5433,1995/10/24,青年卡
1103,11189,1995/11/4,普通卡
504,3230,1995/11/6,青年卡
261,1629,1995/11/9,金卡
296,1876,1995/11/13,金卡
113,629,1995/11/16,青年卡
92,508,1995/11/20,普通卡
1225,13268,1995/11/22,普通卡
393,2498,1995/12/3,青年卡
695,4507,1995/12/15,普通卡
666,4328,1995/12/25,青年卡
462,2978,1995/12/30,普通卡
85,489,1995/12/31,普通卡
337,2141,1996/1/1,普通卡
771,5233,1996/1/8,普通卡
379,2431,1996/1/12,普通卡
106,592,1996/1/14,普通卡
606,3883,1996/1/22,普通卡
427,2688,1996/1/25,金卡
202,1228,1996/2/4,普通卡
814,5911,1996/2/15,普通卡
1064,10328,1996/2/17,普通卡
