client_id,sex,birth_date,district_id
1,女,1970-12-13,18
2,男,1945-02-04,1
3,女,1940-10-09,1
4,男,1956-12-01,5
5,女,1960-07-03,5
6,男,1919-09-22,12
7,男,1929-01-25,15
8,女,1938-02-21,51
9,男,1935-10-16,60
10,男,1943-05-01,57
11,女,1950-08-22,57
12,男,1981-02-20,40
13,女,1974-05-29,54
14,女,1942-06-22,76
15,女,1918-08-28,21
16,男,1919-02-25,21
17,男,1934-10-13,76
18,女,1931-04-05,76
19,男,1942-12-28,47
20,男,1979-01-04,46
21,女,1952-10-29,12
22,女,1969-10-11,1
23,男,1973-05-29,1
24,女,1939-07-29,43
25,女,1939-04-23,21
26,女,1969-04-20,74
27,女,1966-03-26,54
28,男,1945-09-29,1
29,女,1951-09-11,30
30,女,1957-10-09,74
31,男,1962-02-09,68
32,男,1980-07-28,52
33,女,1948-12-04,73
36,女,1978-07-17,7
37,男,1970-08-10,7
38,女,1973-07-23,36
39,男,1968-01-25,68
40,女,1957-01-22,5
41,男,1968-08-27,22
42,男,1935-08-17,68
43,男,1920-10-28,75
44,女,1977-01-11,38
45,男,1952-08-26,20
46,女,1940-01-30,19
47,男,1934-07-14,76
48,男,1940-02-09,16
49,女,1959-05-11,72
50,女,1978-07-30,39
51,女,1979-12-02,36
52,男,1924-12-12,32
53,男,1977-05-05,64
55,女,1948-09-18,45
56,男,1960-03-31,21
57,女,1961-12-17,21
58,女,1927-04-29,1
59,男,1957-02-18,1
60,男,1980-02-19,67
61,女,1948-08-06,16
62,男,1932-12-08,77
63,男,1959-06-04,4
64,男,1926-04-22,20
65,女,1943-05-27,50
66,女,1951-11-10,1
67,女,1932-11-11,29
68,男,1946-12-14,43
70,男,1925-12-22,70
71,女,1927-02-06,70
72,男,1923-01-13,47
73,男,1924-02-20,22
74,女,1925-07-26,22
75,女,1977-09-19,64
76,女,1967-10-01,36
77,女,1956-02-18,1
78,女,1944-06-13,16
79,女,1969-03-10,37
80,女,1979-02-25,64
81,男,1976-04-29,8
82,女,1979-12-25,8
83,女,1978-12-25,1
84,男,1979-05-05,1
85,男,1961-08-27,1
86,女,1969-07-20,1
87,女,1946-11-17,72
89,女,1951-05-05,1
90,男,1975-08-17,52
91,男,1940-08-07,63
92,女,1966-06-12,74
93,男,1925-02-16,3
94,男,1947-09-09,43
95,女,1952-08-03,43
96,男,1972-02-29,74
97,男,1965-11-28,26
98,女,1973-05-04,33
99,男,1973-01-26,33
100,女,1942-08-11,44
101,男,1943-01-23,68
