disp_id,client_id,account_id,type
1,1,1,所有者
2,2,2,所有者
3,3,2,用户
4,4,3,所有者
5,5,3,用户
6,6,4,所有者
7,7,5,所有者
8,8,6,所有者
9,9,7,所有者
10,10,8,所有者
11,11,8,用户
12,12,9,所有者
13,13,10,所有者
14,14,11,所有者
15,15,12,所有者
16,16,12,用户
17,17,13,所有者
18,18,13,用户
19,19,14,所有者
20,20,15,所有者
21,21,16,所有者
22,22,17,所有者
23,23,17,用户
24,24,18,所有者
25,25,19,所有者
26,26,20,所有者
27,27,21,所有者
28,28,22,所有者
29,29,23,所有者
30,30,24,所有者
31,31,25,所有者
32,32,26,所有者
33,33,27,所有者
36,36,29,所有者
37,37,29,用户
38,38,30,所有者
39,39,31,所有者
40,40,32,所有者
41,41,33,所有者
42,42,34,所有者
43,43,35,所有者
44,44,36,所有者
45,45,37,所有者
46,46,38,所有者
47,47,39,所有者
48,48,40,所有者
49,49,41,所有者
50,50,42,所有者
51,51,43,所有者
52,52,44,所有者
53,53,45,所有者
55,55,47,所有者
56,56,48,所有者
57,57,48,用户
58,58,49,所有者
59,59,50,所有者
60,60,51,所有者
61,61,52,所有者
62,62,53,所有者
63,63,54,所有者
64,64,55,所有者
65,65,56,所有者
66,66,57,所有者
67,67,58,所有者
68,68,59,所有者
70,70,61,所有者
71,71,61,用户
72,72,62,所有者
73,73,63,所有者
74,74,63,用户
75,75,64,所有者
76,76,65,所有者
77,77,66,所有者
78,78,67,所有者
79,79,68,所有者
80,80,69,所有者
81,81,70,所有者
82,82,70,用户
83,83,71,所有者
84,84,71,用户
85,85,72,所有者
86,86,72,用户
87,87,73,所有者
89,89,75,所有者
90,90,76,所有者
91,91,77,所有者
92,92,78,所有者
93,93,79,所有者
94,94,80,所有者
95,95,80,用户
96,96,81,所有者
97,97,82,所有者
98,98,83,所有者
99,99,83,用户
100,100,84,所有者
101,101,85,所有者
102,102,86,所有者
103,103,86,用户
105,105,88,所有者
106,106,89,所有者
107,107,90,所有者
108,108,91,所有者
110,110,93,所有者
112,112,95,所有者
113,113,95,用户
114,114,96,所有者
115,115,96,用户
116,116,97,所有者
117,117,97,用户
118,118,98,所有者
119,119,98,用户
120,120,99,所有者
121,121,100,所有者
122,122,101,所有者
123,123,102,所有者
124,124,103,所有者
125,125,104,所有者
126,126,104,用户
127,127,105,所有者
128,128,106,所有者
129,129,107,所有者
130,130,108,所有者
131,131,109,所有者
132,132,110,所有者
134,134,112,所有者
135,135,112,用户
136,136,113,所有者
137,137,114,所有者
138,138,115,所有者
139,139,116,所有者
140,140,116,用户
141,141,117,所有者
142,142,118,所有者
143,143,119,所有者
144,144,120,所有者
145,145,121,所有者
146,146,122,所有者
147,147,123,所有者
148,148,123,用户
149,149,124,所有者
150,150,125,所有者
151,151,126,所有者
152,152,127,所有者
153,153,128,所有者
154,154,129,所有者
155,155,129,用户
156,156,130,所有者
157,157,131,所有者
158,158,132,所有者
159,159,132,用户
160,160,133,所有者
161,161,134,所有者
162,162,135,所有者
163,163,136,所有者
164,164,137,所有者
165,165,138,所有者
166,166,138,用户
167,167,139,所有者
168,168,140,所有者
169,169,141,所有者
170,170,141,用户
171,171,142,所有者
172,172,142,用户
173,173,143,所有者
174,174,144,所有者
175,175,145,所有者
176,176,146,所有者
178,178,148,所有者
179,179,149,所有者
180,180,150,所有者
181,181,151,所有者
182,182,151,用户
183,183,152,所有者
184,184,152,用户
185,185,153,所有者
186,186,154,所有者
187,187,155,所有者
188,188,156,所有者
189,189,157,所有者
190,190,158,所有者
191,191,158,用户
192,192,159,所有者
193,193,160,所有者
194,194,161,所有者
195,195,162,所有者
196,196,162,用户
197,197,163,所有者
198,198,164,所有者
199,199,165,所有者
200,200,165,用户
201,201,166,所有者
202,202,167,所有者
203,203,168,所有者
204,204,168,用户
205,205,169,所有者
206,206,170,所有者
207,207,171,所有者
208,208,172,所有者
209,209,172,用户
210,210,173,所有者
211,211,173,用户
212,212,174,所有者
215,215,176,所有者
216,216,177,所有者
217,217,178,所有者
218,218,179,所有者
219,219,180,所有者
221,221,181,所有者
222,222,182,所有者
223,223,183,所有者
224,224,184,所有者
225,225,185,所有者
226,226,186,所有者
227,227,187,所有者
228,228,188,所有者
229,229,189,所有者
230,230,190,所有者
231,231,191,所有者
232,232,192,所有者
233,233,193,所有者
234,234,193,用户
235,235,194,所有者
236,236,195,所有者
237,237,195,用户
238,238,196,所有者
239,239,197,所有者
240,240,198,所有者
241,241,199,所有者
242,242,200,所有者
243,243,201,所有者
246,246,204,所有者
247,247,205,所有者
248,248,206,所有者
249,249,206,用户
250,250,207,所有者
251,251,208,所有者
252,252,209,所有者
253,253,210,所有者
254,254,211,所有者
255,255,212,所有者
256,256,213,所有者
257,257,214,所有者
258,258,214,用户
259,259,215,所有者
260,260,215,用户
261,261,216,所有者
262,262,217,所有者
263,263,218,所有者
264,264,219,所有者
265,265,220,所有者
266,266,221,所有者
267,267,222,所有者
268,268,223,所有者
269,269,224,所有者
270,270,225,所有者
271,271,225,用户
272,272,226,所有者
273,273,227,所有者
274,274,228,所有者
275,275,229,所有者
276,276,230,所有者
277,277,230,用户
278,278,231,所有者
279,279,231,用户
280,280,232,所有者
282,282,234,所有者
283,283,234,用户
284,284,235,所有者
285,285,236,所有者
286,286,236,用户
287,287,237,所有者
288,288,238,所有者
289,289,239,所有者
290,290,240,所有者
291,291,240,用户
292,292,241,所有者
293,293,242,所有者
294,294,243,所有者
295,295,244,所有者
296,296,245,所有者
297,297,246,所有者
298,298,246,用户
300,300,248,所有者
301,301,249,所有者
302,302,250,所有者
303,303,251,所有者
304,304,252,所有者
305,305,253,所有者
308,308,255,所有者
309,309,256,所有者
310,310,257,所有者
311,311,258,所有者
312,312,259,所有者
313,313,260,所有者
314,314,260,用户
315,315,261,所有者
316,316,262,所有者
317,317,263,所有者
318,318,264,所有者
319,319,265,所有者
320,320,265,用户
321,321,266,所有者
322,322,267,所有者
323,323,267,用户
324,324,268,所有者
325,325,269,所有者
326,326,270,所有者
327,327,270,用户
328,328,271,所有者
329,329,272,所有者
330,330,273,所有者
331,331,274,所有者
332,332,275,所有者
333,333,276,所有者
334,334,277,所有者
335,335,278,所有者
336,336,279,所有者
337,337,279,用户
338,338,280,所有者
339,339,281,所有者
340,340,281,用户
341,341,282,所有者
342,342,282,用户
343,343,283,所有者
344,344,284,所有者
345,345,285,所有者
346,346,285,用户
347,347,286,所有者
348,348,286,用户
349,349,287,所有者
350,350,288,所有者
351,351,289,所有者
352,352,290,所有者
353,353,291,所有者
354,354,292,所有者
355,355,292,用户
356,356,293,所有者
357,357,293,用户
358,358,294,所有者
359,359,295,所有者
360,360,296,所有者
361,361,297,所有者
362,362,298,所有者
363,363,298,用户
364,364,299,所有者
365,365,300,所有者
366,366,300,用户
367,367,301,所有者
368,368,301,用户
369,369,302,所有者
370,370,303,所有者
371,371,304,所有者
372,372,305,所有者
373,373,306,所有者
374,374,307,所有者
375,375,308,所有者
376,376,309,所有者
378,378,311,所有者
379,379,311,用户
380,380,312,所有者
381,381,313,所有者
382,382,313,用户
383,383,314,所有者
384,384,314,用户
385,385,315,所有者
386,386,316,所有者
387,387,317,所有者
388,388,318,所有者
389,389,319,所有者
390,390,320,所有者
391,391,321,所有者
392,392,322,所有者
393,393,322,用户
394,394,323,所有者
395,395,323,用户
396,396,324,所有者
397,397,325,所有者
398,398,326,所有者
399,399,327,所有者
400,400,328,所有者
401,401,328,用户
402,402,329,所有者
403,403,330,所有者
404,404,330,用户
405,405,331,所有者
406,406,332,所有者
407,407,333,所有者
408,408,334,所有者
409,409,335,所有者
410,410,336,所有者
411,411,337,所有者
412,412,337,用户
413,413,338,所有者
414,414,339,所有者
415,415,339,用户
416,416,340,所有者
417,417,340,用户
418,418,341,所有者
419,419,342,所有者
420,420,343,所有者
421,421,344,所有者
422,422,345,所有者
423,423,346,所有者
424,424,347,所有者
425,425,348,所有者
426,426,349,所有者
427,427,349,用户
428,428,350,所有者
429,429,351,所有者
430,430,352,所有者
431,431,353,所有者
432,432,354,所有者
433,433,355,所有者
434,434,356,所有者
435,435,357,所有者
436,436,358,所有者
437,437,359,所有者
438,438,360,所有者
439,439,361,所有者
440,440,362,所有者
441,441,363,所有者
442,442,364,所有者
443,443,364,用户
444,444,365,所有者
445,445,366,所有者
446,446,366,用户
447,447,367,所有者
448,448,368,所有者
450,450,370,所有者
451,451,371,所有者
452,452,372,所有者
453,453,373,所有者
454,454,374,所有者
455,455,375,所有者
456,456,376,所有者
457,457,377,所有者
458,458,378,所有者
459,459,379,所有者
461,461,381,所有者
462,462,382,所有者
463,463,383,所有者
464,464,384,所有者
465,465,385,所有者
466,466,386,所有者
467,467,386,用户
468,468,387,所有者
469,469,388,所有者
470,470,389,所有者
471,471,390,所有者
472,472,391,所有者
473,473,392,所有者
474,474,393,所有者
476,476,395,所有者
477,477,395,用户
478,478,396,所有者
479,479,397,所有者
480,480,397,用户
481,481,398,所有者
482,482,398,用户
483,483,399,所有者
484,484,400,所有者
485,485,401,所有者
486,486,402,所有者
487,487,403,所有者
488,488,403,用户
489,489,404,所有者
490,490,405,所有者
491,491,406,所有者
492,492,407,所有者
493,493,408,所有者
494,494,409,所有者
495,495,410,所有者
496,496,411,所有者
497,497,412,所有者
498,498,412,用户
499,499,413,所有者
500,500,414,所有者
501,501,415,所有者
502,502,416,所有者
503,503,417,所有者
504,504,418,所有者
505,505,419,所有者
506,506,420,所有者
507,507,421,所有者
508,508,422,所有者
509,509,423,所有者
510,510,424,所有者
511,511,425,所有者
512,512,426,所有者
513,513,427,所有者
514,514,427,用户
515,515,428,所有者
516,516,428,用户
517,517,429,所有者
518,518,430,所有者
519,519,431,所有者
520,520,432,所有者
521,521,433,所有者
522,522,434,所有者
523,523,435,所有者
524,524,436,所有者
525,525,436,用户
526,526,437,所有者
527,527,437,用户
528,528,438,所有者
529,529,439,所有者
530,530,440,所有者
531,531,441,所有者
532,532,441,用户
533,533,442,所有者
534,534,443,所有者
535,535,444,所有者
536,536,445,所有者
537,537,446,所有者
538,538,447,所有者
540,540,449,所有者
541,541,449,用户
542,542,450,所有者
543,543,451,所有者
544,544,452,所有者
545,545,453,所有者
546,546,454,所有者
547,547,455,所有者
548,548,456,所有者
550,550,458,所有者
551,551,459,所有者
552,552,460,所有者
553,553,460,用户
554,554,461,所有者
555,555,461,用户
