A1,GDP,A4,A10,A11,A12,A13,A14,A15,a16
1,283894,1204953,100,12541,0.29,0.43,167,35.6,41.1
2,11655,88884,46.7,8507,1.67,1.85,132,12.1,15
3,13146,75232,41.7,8980,1.95,2.21,111,18.8,18.7
4,16108,149893,67.4,9753,4.64,5.05,109,17.5,19.7
5,13452,95616,51.4,9307,3.85,4.43,118,13.7,15.9
6,12268,77963,51.5,8546,2.95,4.02,126,16.9,20
7,14692,94725,63.4,9920,2.26,2.87,130,22.6,25.6
8,24325,112065,69.4,11277,1.25,1.44,127,23.1,22.3
9,10605,81344,55.3,8899,3.39,3.97,149,18.4,15.3
10,10142,92084,46.7,10124,0.56,0.54,141,20.7,23.4
11,13933,75637,36.5,9622,0.45,0.59,154,23,23.3
12,16381,107870,58,8754,3.83,4.31,137,17.6,17.9
13,6354,53921,41.3,8598,2.77,3.26,123,14.8,17.4
14,31891,177686,74.8,10045,1.42,1.71,135,18.6,17.7
15,8262,58796,51.9,9045,3.13,3.6,124,15.7,16
16,7918,93931,56.9,8427,1.12,1.54,107,10,10.2
17,8073,74062,61.4,8114,2.38,2.62,119,6.8,8
18,12527,70699,65.3,8968,2.83,3.35,131,12.3,13.5
19,7649,51428,52.7,8402,3.13,3.98,120,9.7,10.7
20,8882,70646,58.4,8547,2.65,3.64,120,11.1,10.9
21,10609,103347,67,9104,1.51,2.07,123,11.1,11.4
22,6731,58400,52.4,8620,1.1,1.25,100,9.3,9.6
23,12979,87419,85.5,8624,1.79,2.66,102,16.5,18.3
24,18300,122603,80,8991,1.39,2.01,128,21.2,21.5
25,13888,88757,61.7,8554,2.47,2.68,113,10.3,12.5
26,34324,170449,100,10787,2.64,3.09,131,17.7,18.4
27,7781,67298,43.8,8561,0.65,1.29,110,7.6,8.4
28,6563,72541,36.9,8594,1.62,2.01,112,10.9,10.5
29,7991,45714,55.6,8843,2.82,3.6,113,8.9,9.7
30,16979,94812,81.8,9650,3.38,3.67,100,15.7,14.8
31,6940,51313,59.2,8930,3.52,4.2,108,12.9,14.1
32,14240,105058,81,9272,2.8,3.22,118,20.7,21.4
33,15602,133777,84.7,8705,5.75,7.61,116,17.4,18.2
34,13578,125236,87.7,9675,6.43,7.68,100,21.3,20.7
35,13725,88768,80.5,8867,1.02,1.21,130,19.1,20.4
36,27474,159617,85.2,9198,3.33,4.28,131,18.2,19.2
37,20035,114006,62.3,9065,4.46,5.39,123,18.2,18.3
38,13737,85852,59.8,8965,7.08,8.23,104,15.5,16.4
39,14543,119895,89.9,10446,7.34,9.4,90,20.6,19.8
40,19710,128118,85.3,9317,6.49,7.07,97,27.1,26.8
41,22887,118650,85.6,9832,3.32,4.48,114,27.2,23.1
42,15377,95907,59.1,8388,2.41,2.94,87,8.6,8.7
43,15971,161854,76.3,9425,1.72,2.5,125,12.6,12
44,13065,105606,53,8254,2.79,3.76,97,10.3,11
45,12888,77917,53.5,8390,2.28,2.89,132,13.3,13.6
46,14111,112709,73.5,8369,1.79,2.31,117,12.7,11.6
47,28109,162580,72.8,9538,1.51,1.81,111,18.7,16.6
48,8510,78955,59,9060,1.78,2.44,124,10.5,10.9
49,8008,75685,60.8,8208,1.89,2.26,155,11,14
50,13766,102609,52,8187,4.83,5.45,94,10.3,10.4
51,19080,121947,70.5,8541,2.51,2.97,131,14.3,15.7
52,20596,139012,61.9,8363,2.52,3.49,108,9.2,10.1
53,12129,107911,50.9,8240,2.53,3.56,99,8.6,8.8
54,69222,387570,100,9897,1.6,1.96,140,24.2,24.1
55,27041,157042,33.9,8743,1.88,2.43,111,11.6,12.4
56,13934,124605,46,8772,4.69,4.98,126,11.5,12.7
57,22924,161954,48,8720,3.73,4.5,116,11.5,11.3
58,10736,109164,63.6,8757,3.38,3.95,96,10.1,11.3
59,15614,108871,62.1,8444,3.24,3.47,106,11.9,10.6
60,15386,110643,51.9,8441,3.45,4.48,115,8.5,10.2
61,18565,117897,53.8,8814,4.76,5.74,107,9,8.7
62,19209,145688,40.7,8544,1.29,1.86,109,9.3,10
63,11322,86513,50.5,8288,3.79,4.52,110,9,8.4
64,22547,197099,74.7,9624,1.6,2.31,145,11.4,10.8
65,14539,114200,43.7,8403,5.74,5.72,105,9.4,11.9
66,13477,125832,48.3,8512,3.51,4.12,102,8.9,8.4
67,14294,106054,63.1,8110,5.77,6.55,109,15.3,14.5
68,27054,228848,57.2,9893,4.09,4.72,96,12.3,12.9
69,5902,42821,48.4,8173,,7.01,124,,15.9
70,31182,285387,89.9,10177,6.63,7.75,81,17.3,17.7
71,24943,161227,69.7,8678,5.93,5.57,102,15.4,14.3
72,30512,226122,62.6,8994,3.8,4.79,110,21.4,20.4
73,16940,182027,56.4,8746,3.33,3.74,90,12,12.2
74,65804,323870,100,10673,4.75,5.44,100,29,28.3
75,18030,138032,64.6,8819,5.38,5.66,99,14.7,16.3
76,19164,127369,51.2,8369,4.73,5.88,107,14.7,11
77,25421,148545,53.5,8909,4.01,5.56,113,11.6,12.1
