loan_id,account_id,date,amount,duration,payments,status
5314,1787,1993-07-05,96396,12,8033,B
5316,1801,1993-07-11,165960,36,4610,A
6863,9188,1993-07-28,127080,60,2118,A
5325,1843,1993-08-03,105804,36,2939,A
7240,11013,1993-09-06,274740,60,4579,A
6687,8261,1993-09-13,87840,24,3660,A
7284,11265,1993-09-15,52788,12,4399,A
6111,5428,1993-09-24,174744,24,7281,B
7235,10973,1993-10-13,154416,48,3217,A
5997,4894,1993-11-04,117024,24,4876,A
7121,10364,1993-11-10,21924,36,609,A
6077,5270,1993-11-22,79608,24,3317,A
6228,6034,1993-12-01,464520,60,7742,B
6356,6701,1993-12-08,95400,36,2650,A
5523,2705,1993-12-08,93888,36,2608,A
6456,7123,1993-12-09,47016,12,3918,A
7104,10320,1993-12-13,259740,60,4329,A
6820,9034,1993-12-16,38148,12,3179,A
6876,9236,1993-12-21,86616,12,7218,A
7097,10266,1993-12-23,75624,24,3151,B
4959,2,1994-01-05,80952,24,3373,A
6499,7401,1994-01-05,80952,24,3373,A
5479,2486,1994-01-10,24516,12,2043,A
5170,1071,1994-01-20,253200,60,4220,C
6721,8475,1994-01-21,21072,24,878,A
7259,11111,1994-01-31,108144,36,3004,A
5285,1603,1994-02-06,78936,12,6578,A
5189,1166,1994-02-07,149040,48,3105,A
6650,8073,1994-02-17,49320,12,4110,B
7226,10940,1994-02-23,197748,36,5493,A
6087,5313,1994-02-27,300660,60,5011,C
7262,11135,1994-03-01,182628,36,5073,A
5519,2694,1994-03-08,91632,12,7636,A
6577,7753,1994-03-11,51696,24,2154,A
6509,7445,1994-03-15,55368,24,2307,A
6520,7485,1994-03-16,91200,24,3800,A
6699,8330,1994-03-30,7656,24,319,A
6336,6555,1994-03-31,212400,36,5900,A
7055,10079,1994-04-06,167100,60,2785,C
6103,5385,1994-04-07,149340,60,2489,C
6202,5891,1994-04-18,65184,12,5432,A
7066,10131,1994-05-02,215388,36,5983,B
6696,8321,1994-05-09,89040,60,1484,C
6072,5256,1994-05-10,193968,36,5388,A
5130,813,1994-05-11,24312,12,2026,A
5568,2933,1994-05-17,272520,60,4542,C
6678,8173,1994-05-20,80340,12,6695,A
6998,9833,1994-05-21,97632,12,8136,A
6580,7769,1994-05-22,196080,48,4085,A
6316,6473,1994-05-26,76908,12,6409,B
6512,7454,1994-05-26,63312,48,1319,A
6407,6930,1994-05-26,25944,24,1081,A
5002,173,1994-05-31,104808,12,8734,A
6647,8051,1994-06-01,208320,48,4340,A
7137,10439,1994-06-03,151560,24,6315,A
6903,9337,1994-06-04,52128,24,2172,A
5918,4576,1994-06-04,300204,36,8339,A
6642,8027,1994-06-05,77640,12,6470,A
6210,5927,1994-06-06,87216,48,1817,B
6279,6273,1994-06-07,87360,24,3640,A
7249,11065,1994-06-12,69360,48,1445,A
6736,8558,1994-06-14,288360,60,4806,C
6112,5442,1994-06-17,174744,24,7281,B
5319,1811,1994-06-23,239460,60,3991,C
6596,7844,1994-06-25,91584,24,3816,A
5837,4260,1994-06-29,244560,60,4076,C
5657,3354,1994-07-05,4980,12,415,A
5533,2762,1994-07-05,111384,24,4641,A
6232,6051,1994-07-08,276660,36,7685,B
6888,9265,1994-07-11,39576,12,3298,A
6066,5228,1994-07-11,173808,24,7242,A
5549,2824,1994-07-16,50460,60,841,C
5060,426,1994-07-19,252060,60,4201,D
6004,4937,1994-07-23,143904,24,5996,A
5126,790,1994-07-24,208128,48,4336,B
7220,10911,1994-07-28,131292,36,3647,A
6668,8129,1994-07-30,74736,36,2076,A
5395,2176,1994-07-30,299088,36,8308,B
6836,9093,1994-08-03,189300,60,3155,C
6064,5215,1994-08-04,14628,12,1219,A
6919,9403,1994-08-05,120888,36,3358,A
6841,9104,1994-08-07,172080,48,3585,A
6038,5120,1994-08-10,323472,48,6739,A
6729,8519,1994-08-11,74688,12,6224,A
7198,10788,1994-08-23,45768,12,3814,A
6686,8260,1994-08-25,224604,36,6239,A
5836,4259,1994-08-27,79632,24,3318,A
7061,10105,1994-08-27,121896,24,5079,A
5595,3050,1994-09-02,82896,12,6908,A
5723,3674,1994-09-10,23628,12,1969,A
6120,5481,1994-09-11,209184,48,4358,A
6895,9307,1994-09-19,41904,12,3492,A
5882,4427,1994-09-26,87816,12,7318,A
5754,3834,1994-09-28,23052,12,1921,A
6594,7824,1994-09-28,189696,24,7904,B
6738,8566,1994-09-29,230220,36,6395,B
6624,7965,1994-09-30,71460,12,5955,A
6216,5952,1994-09-30,141240,24,5885,A
6229,6040,1994-10-02,11736,24,489,A
5887,4448,1994-10-03,192744,36,5354,A
6808,8982,1994-10-12,227880,36,6330,A
6297,6363,1994-10-25,17508,12,1459,A
5161,1012,1994-10-28,98184,24,4091,A
5390,2167,1994-10-30,170256,24,7094,A
6150,5622,1994-11-02,83016,12,6918,A
6223,5991,1994-11-03,61056,48,1272,A
5032,290,1994-11-03,123696,48,2577,A
6253,6148,1994-11-04,59760,24,2490,A
6460,7133,1994-11-06,48672,36,1352,A
6645,8041,1994-11-06,140400,36,3900,A
5176,1106,1994-11-12,192552,24,8023,B
5269,1527,1994-11-19,164052,36,4557,B
5351,1978,1994-12-04,205200,36,5700,A
5861,4337,1994-12-08,51408,24,2142,A
5450,2345,1994-12-11,199680,60,3328,C
7142,10451,1994-12-19,482940,60,8049,D
6306,6425,1994-12-20,36684,12,3057,A
6272,6226,1994-12-20,398640,60,6644,C
5044,344,1994-12-21,100980,60,1683,C
5576,2962,1994-12-21,31248,12,2604,A
7192,10738,1994-12-21,115992,36,3222,A
5739,3747,1995-01-02,76380,12,6365,A
6526,7523,1995-01-03,288468,36,8013,A
5624,3166,1995-01-03,177744,48,3703,D
6244,6118,1995-01-08,270648,36,7518,B
5131,816,1995-01-08,48624,24,2026,A
6960,9640,1995-01-11,76416,24,3184,A
6358,6715,1995-01-14,137880,60,2298,D
5418,2245,1995-01-16,347952,48,7249,C
6598,7857,1995-01-18,68112,12,5676,A
5464,2419,1995-01-30,95808,12,7984,A
6591,7819,1995-02-02,20832,48,434,C
5724,3678,1995-02-05,316140,60,5269,D
6315,6472,1995-02-06,43164,12,3597,A
5876,4413,1995-02-08,221280,48,4610,C
6986,9750,1995-02-11,151728,48,3161,D
6294,6353,1995-02-12,79920,60,1332,C
5132,817,1995-02-17,538500,60,8975,C
5877,4414,1995-02-23,97224,24,4051,A
6227,6030,1995-03-04,28248,24,1177,A
7241,11021,1995-03-04,168984,24,7041,B
6737,8564,1995-03-11,76680,24,3195,A
7004,9869,1995-03-15,331560,60,5526,C
6169,5700,1995-03-16,103680,60,1728,D
5208,1247,1995-03-16,99696,48,2077,D
6694,8316,1995-03-19,134784,24,5616,A
5599,3064,1995-03-21,15420,12,1285,A
6546,7607,1995-03-27,31728,24,1322,A
5414,2228,1995-03-29,185952,48,3874,C
5453,2361,1995-04-01,156672,36,4352,A
5740,3752,1995-04-02,18564,12,1547,A
5804,4079,1995-04-05,158976,48,3312,C
6745,8625,1995-04-10,47304,24,1971,A
6950,9591,1995-04-11,104712,24,4363,A
6996,9828,1995-04-13,126600,24,5275,A
