dist,roomnum,halls,AREA,floor,subway,school,price
chaoyang,1,0,46.06,middle,1,0,48850
chaoyang,1,1,59.09,middle,1,0,46540
haidian,5,2,278.95,high,1,1,71662
haidian,3,2,207,high,1,1,57972
fengtai,2,1,53.32,low,1,1,71268
fengtai,2,1,58,low,1,1,70690
haidian,2,1,55.8,low,1,1,57348
haidian,2,1,58.9,middle,1,1,55179
haidian,2,1,66.9,middle,1,1,45591
fengtai,2,2,53,middle,1,0,73585
chaoyang,2,2,94.19,middle,1,0,60516
chaoyang,1,0,38.94,high,1,0,56498
chaoyang,1,0,48,high,1,0,55209
chaoyang,1,0,36.74,middle,1,0,54437
chaoyang,1,0,45,low,1,0,53334
chaoyang,1,1,92.98,middle,1,0,50549
chaoyang,1,1,64.6,middle,1,0,68576
chaoyang,1,1,80.74,low,1,0,66634
chaoyang,1,1,81,low,1,0,66050
chaoyang,1,1,78.23,low,1,0,67749
chaoyang,4,2,218.28,low,1,1,71010
fengtai,1,1,46,low,1,0,52174
fengtai,1,1,46.39,low,1,0,45700
fengtai,2,1,58,low,1,0,45690
fengtai,1,1,46.39,high,1,0,45269
fengtai,1,0,46.39,middle,1,0,44191
fengtai,1,1,46.39,low,1,0,44191
fengtai,1,1,60.56,high,1,0,43429
fengtai,1,1,48.44,high,1,0,39637
chaoyang,1,0,71.77,high,1,0,36227
chaoyang,3,1,141,high,1,0,45036
chaoyang,3,1,143.19,low,1,0,39109
chaoyang,3,2,146.72,middle,1,0,38509
chaoyang,3,2,155.3,high,1,0,77270
chaoyang,3,2,150.4,middle,1,0,74469
chaoyang,2,2,119.13,middle,1,0,73869
chaoyang,3,2,139.01,high,1,0,71938
chaoyang,1,0,46.44,high,1,0,71060
chaoyang,4,2,192.68,high,1,0,70065
chaoyang,2,2,116.64,middle,1,0,65587
chaoyang,2,2,117,middle,1,0,63077
chaoyang,1,0,66.36,high,1,0,61785
chaoyang,1,0,54.62,high,1,0,60418
chaoyang,1,0,53.44,low,1,0,58009
haidian,4,2,212,low,1,0,99057
chaoyang,2,1,79,high,1,1,49368
chaoyang,3,2,135.62,middle,1,1,48666
chaoyang,2,1,111.1,high,1,1,47705
chaoyang,1,0,62.56,low,1,1,40122
haidian,1,0,49.96,low,1,1,86069
haidian,1,1,76.17,middle,1,1,72207
haidian,1,1,89.2,middle,1,1,67265
haidian,2,1,89.2,middle,1,1,64462
xicheng,2,1,57.5,middle,1,1,114435
xicheng,2,1,57.7,middle,1,1,114039
xicheng,1,1,48.4,middle,1,1,111571
xicheng,2,1,58.3,low,1,1,111493
xicheng,2,1,51.3,middle,1,1,105264
xicheng,2,1,57.7,high,1,1,104853
xicheng,2,1,74,high,1,1,104055
xicheng,3,1,72.9,high,1,1,97394
xicheng,2,1,59.1,high,1,1,94755
chaoyang,1,1,93.78,middle,1,0,64513
chaoyang,3,2,133.58,low,1,0,59890
chaoyang,3,2,163.68,high,1,0,58652
chaoyang,3,2,133.05,low,1,0,58475
chaoyang,4,2,147.09,low,1,0,58332
chaoyang,3,2,145.87,high,1,0,58272
chaoyang,2,2,94.15,high,1,0,60542
chaoyang,2,2,87.81,high,1,0,56942
chaoyang,2,2,88.88,low,1,0,56256
chaoyang,3,2,127.79,low,1,0,62603
chaoyang,2,1,68.69,low,1,0,61145
chaoyang,1,1,63,middle,1,0,58731
chaoyang,2,2,110.71,high,1,0,58712
chaoyang,2,2,105,low,1,0,52381
xicheng,2,1,50.4,high,1,1,134921
xicheng,2,1,48.5,low,1,1,112372
xicheng,2,1,62.1,high,1,1,101450
dongcheng,3,1,71.78,high,1,1,87769
dongcheng,2,1,53.79,low,1,1,98532
dongcheng,1,1,46.87,high,1,1,96011
dongcheng,1,1,46.87,low,1,1,93877
dongcheng,3,2,89.12,low,1,1,84493
dongcheng,2,1,71,low,1,1,73240
xicheng,2,1,88.4,low,1,1,113123
xicheng,2,1,40.1,low,1,0,109477
xicheng,2,1,51.38,middle,1,1,108992
xicheng,2,1,55,low,1,0,106910
xicheng,1,1,43.5,high,1,1,106897
xicheng,2,1,55,low,1,1,105455
xicheng,1,1,42.8,low,1,1,105141
xicheng,3,1,67.1,low,1,1,103577
xicheng,2,1,50.4,high,1,0,103175
xicheng,2,1,82.8,high,1,1,96619
xicheng,2,1,63,low,1,0,95556
xicheng,2,1,61.8,low,1,1,95470
xicheng,2,1,59.3,middle,1,0,92749
xicheng,2,1,63.5,high,1,0,92599
xicheng,2,1,64.2,high,1,0,91745
xicheng,2,1,64,high,1,0,90625
xicheng,3,2,134.6,low,1,0,89154
dongcheng,3,1,67,low,1,1,86568
dongcheng,3,1,73.18,low,1,1,81990
dongcheng,2,1,50.39,high,1,1,80374
dongcheng,3,1,69,middle,1,1,80000
dongcheng,1,1,46.6,low,1,1,78970
dongcheng,3,1,56.5,middle,1,1,78762
dongcheng,3,1,72,high,1,1,76389
dongcheng,2,1,59,middle,1,1,76272
dongcheng,1,1,43.31,middle,1,1,76195
dongcheng,2,1,59.33,high,1,1,75847
dongcheng,2,1,60,middle,1,1,75000
dongcheng,2,1,58.38,low,1,1,73656
dongcheng,1,1,46.07,high,1,1,72716
dongcheng,2,1,59.33,high,1,1,71634
dongcheng,1,1,36.7,high,1,1,70845
dongcheng,2,1,57.84,high,1,1,74344
dongcheng,2,1,57.84,high,1,1,72615
dongcheng,3,1,70.21,high,1,1,70503
dongcheng,2,1,64.34,middle,1,1,69941
dongcheng,3,0,88.69,low,1,1,60887
dongcheng,2,1,47.5,high,1,1,85264
dongcheng,2,1,46.39,low,1,1,84070
dongcheng,1,1,44,high,1,1,83637
dongcheng,3,1,62.64,low,1,1,83015
dongcheng,3,1,111.04,low,1,1,80602
dongcheng,3,1,111.04,low,1,1,80152
dongcheng,3,0,73.45,high,1,1,74881
dongcheng,2,1,54.41,low,1,1,71679
xicheng,4,2,200.46,middle,1,0,114737
xicheng,1,1,56.46,low,1,0,114418
xicheng,2,1,75.73,low,1,0,110261
xicheng,2,1,74.75,high,1,1,109031
xicheng,3,1,88.76,low,1,1,108157
xicheng,2,1,66.64,low,1,0,108044
xicheng,1,1,58.99,middle,1,0,105951
xicheng,2,2,75.42,low,1,0,105410
xicheng,2,1,71.79,high,1,1,101686
xicheng,2,1,72.79,high,1,0,100289
xicheng,2,1,65.12,middle,1,0,98281
xicheng,3,1,88.86,low,1,0,90030
dongcheng,2,2,65.59,high,1,0,76232
dongcheng,2,1,52.2,middle,1,0,74713
dongcheng,3,1,88,high,1,0,70455
dongcheng,3,1,88.24,middle,1,0,67997
dongcheng,2,1,68,middle,1,0,66177
dongcheng,1,1,43.55,high,1,0,91849
dongcheng,5,1,148.4,low,1,0,114556
chaoyang,2,2,84.61,low,1,1,66896
chaoyang,2,1,58.52,high,1,0,58955
chaoyang,2,1,57.85,high,1,0,56180
chaoyang,2,1,59.06,low,1,0,54183
chaoyang,2,1,63.88,low,1,0,68097
chaoyang,2,1,61,high,1,0,55738
chaoyang,3,1,84.25,middle,1,0,55193
chaoyang,3,1,78.63,high,1,0,52398
chaoyang,2,1,55.27,middle,1,0,61336
chaoyang,2,1,51.21,low,1,0,56630
chaoyang,2,1,53.24,high,1,0,72315
chaoyang,3,1,74.57,middle,1,0,60346
chaoyang,3,1,74.57,high,1,0,58335
chaoyang,2,1,73.87,middle,1,0,56857
chaoyang,3,1,63.32,high,1,0,56855
chaoyang,2,1,56.98,high,1,0,56161
chaoyang,3,1,76.1,high,1,0,65704
chaoyang,2,1,51,low,1,0,58824
chaoyang,2,1,57.26,high,1,0,66714
chaoyang,1,1,42,high,1,0,57858
dongcheng,2,1,52.98,high,1,1,73613
dongcheng,2,1,67,low,1,1,71642
dongcheng,2,0,50,high,1,1,70000
dongcheng,2,1,75,high,1,1,66667
dongcheng,2,1,71.17,high,1,1,64353
dongcheng,3,1,74.82,low,1,1,56135
dongcheng,1,1,63,low,1,1,75397
dongcheng,2,2,82.27,middle,1,1,75362
dongcheng,2,1,80.19,middle,1,1,71082
dongcheng,2,1,71.75,low,1,1,69687
chaoyang,2,1,60.19,high,1,1,54827
chaoyang,3,1,80,high,1,1,53750
chaoyang,2,1,64.21,middle,1,1,74755
chaoyang,1,1,51.01,high,1,1,56852
chaoyang,3,1,82.19,high,1,1,52927
chaoyang,3,2,119.01,high,1,1,63020
chaoyang,1,1,48,high,1,1,62500
chaoyang,2,1,59,high,1,1,60339
chaoyang,2,1,103.82,middle,1,1,57793
chaoyang,2,1,85.11,middle,1,1,57573
chaoyang,2,1,104.99,high,1,1,57149
chaoyang,2,2,77.24,low,1,1,53729
chaoyang,2,1,94.15,high,1,1,53107
chaoyang,2,1,85,low,1,1,50589
chaoyang,2,1,85.11,middle,1,1,50523
chaoyang,3,2,139.5,middle,1,1,50180
chaoyang,2,1,111.55,middle,1,1,47961
chaoyang,4,2,185,middle,1,1,47568
chaoyang,2,1,53.69,low,1,1,59602
chaoyang,2,1,56.4,low,1,1,59398
chaoyang,2,1,57.09,low,1,1,58680
chaoyang,2,1,58,middle,1,1,58621
chaoyang,1,1,40.4,low,1,1,56931
chaoyang,3,1,78.3,middle,1,1,56195
chaoyang,2,1,57.09,low,1,1,56052
chaoyang,2,1,57.09,middle,1,1,55177
chaoyang,2,1,57.43,middle,0,1,54850
chaoyang,2,1,54.21,high,1,1,77477
chaoyang,2,2,67.15,middle,1,1,67015
chaoyang,2,1,56.76,high,1,1,66949
chaoyang,1,1,44.95,high,1,1,66741
chaoyang,3,1,76.5,high,1,1,65360
chaoyang,2,1,70,middle,1,1,62858
chaoyang,2,2,71,middle,1,1,62677
chaoyang,3,1,83.59,high,1,1,59816
chaoyang,3,1,79.78,low,1,1,58286
chaoyang,3,1,85.27,low,1,1,56292
chaoyang,3,1,80,low,1,1,56250
chaoyang,3,1,78.34,low,1,1,56166
chaoyang,3,1,75.06,low,1,1,55290
chaoyang,4,2,118,high,1,1,55085
chaoyang,2,1,79.29,middle,1,1,58646
chaoyang,2,1,57,middle,1,1,52632
chaoyang,3,1,67.04,middle,1,1,63395
chaoyang,3,1,68.57,middle,1,1,60668
chaoyang,2,1,54.31,high,1,1,58922
chaoyang,2,1,64.68,low,1,1,58751
chaoyang,2,1,64.98,low,1,1,58480
chaoyang,2,1,54.97,low,1,1,57668
fengtai,2,1,57.96,middle,1,0,44859
fengtai,2,1,57.84,high,1,0,43050
fengtai,1,1,48.02,high,1,1,64557
fengtai,1,1,48.08,high,1,1,60733
dongcheng,2,1,57.34,high,1,0,43600
dongcheng,2,1,57.91,high,1,0,43171
dongcheng,3,1,77.66,high,1,0,38630
dongcheng,1,0,37.74,high,1,0,47695
haidian,1,0,36.43,middle,0,0,64508
haidian,1,0,38,middle,0,0,61843
haidian,3,1,95.52,low,0,0,60721
haidian,1,0,39,low,0,0,60257
haidian,2,1,85.04,high,0,0,57032
haidian,2,2,88.58,low,0,0,52495
haidian,1,1,42,low,0,0,59524
haidian,1,1,42,middle,0,0,54762
haidian,2,1,59,low,0,0,53390
haidian,2,1,60.85,middle,0,0,51767
haidian,3,1,75,low,0,0,51334
haidian,2,1,71.3,high,0,0,49089
haidian,2,1,74.28,middle,0,0,56947
haidian,2,1,71.37,middle,0,0,54085
haidian,2,1,73,middle,0,0,52055
haidian,2,1,73.05,middle,0,0,51746
haidian,1,1,48.55,high,0,0,51082
haidian,2,1,73.49,middle,0,0,50347
haidian,1,1,55.75,middle,0,1,50225
haidian,2,1,82.97,low,0,0,47608
haidian,3,1,91.14,middle,0,0,46632
haidian,1,1,59,high,0,0,45763
haidian,2,1,67,middle,0,0,44777
haidian,2,2,97.45,low,0,0,44126
haidian,3,1,102,middle,0,0,42157
haidian,3,2,106,high,0,0,41510
haidian,3,2,105,high,0,0,40953
haidian,4,1,116.24,high,0,0,39574
haidian,3,1,106.42,high,0,0,38527
haidian,4,2,131.98,high,0,0,36370
haidian,4,2,131,high,0,0,35115
chaoyang,2,1,107.74,middle,1,0,63115
dongcheng,2,1,61.11,middle,1,0,69220
dongcheng,3,1,81.73,high,1,0,69131
dongcheng,1,1,46.83,high,1,0,64062
dongcheng,1,1,46.83,low,1,0,59791
dongcheng,2,1,56.03,low,1,1,70498
dongcheng,2,2,71.76,high,1,1,69538
dongcheng,2,1,49,middle,1,1,67347
dongcheng,2,1,67.09,high,1,0,81980
dongcheng,3,1,70.13,high,1,0,75574
dongcheng,3,1,84.2,middle,1,0,73635
dongcheng,1,1,39.97,high,1,1,101326
dongcheng,2,1,58.12,middle,1,0,91191
dongcheng,2,1,59.68,low,1,1,90148
dongcheng,2,1,65.16,low,1,0,89933
dongcheng,2,1,59.68,low,1,1,88472
dongcheng,3,1,95.46,middle,1,1,87995
dongcheng,2,1,56.65,middle,1,1,87909
dongcheng,1,1,39.29,low,1,1,86537
dongcheng,1,1,50.19,low,1,1,85675
dongcheng,2,2,75.5,middle,1,1,79471
dongcheng,2,1,67,low,1,1,77612
dongcheng,2,1,58,high,1,1,89656
dongcheng,3,1,71.05,middle,1,0,89374
dongcheng,1,1,37.47,low,1,1,88071
dongcheng,2,1,61,low,1,1,81968
dongcheng,2,1,61,low,1,0,81968
dongcheng,2,1,53.24,middle,1,0,80767
dongcheng,3,1,81,low,1,1,80247
dongcheng,2,1,56.82,high,1,0,78318
dongcheng,1,1,37.11,high,1,0,75991
dongcheng,1,1,42.3,high,1,1,75651
dongcheng,3,1,74,low,1,0,74325
dongcheng,2,1,60,high,1,1,75000
dongcheng,3,0,65.29,high,1,1,74438
dongcheng,2,1,55.59,high,1,1,71596
dongcheng,1,1,44.73,low,1,1,71317
dongcheng,3,1,88.24,low,1,1,70830
dongcheng,3,1,88.24,high,1,1,70830
dongcheng,2,1,69.83,middle,1,1,69885
chaoyang,1,1,41.84,middle,0,0,62142
chaoyang,2,1,61.86,high,1,0,56580
chaoyang,2,1,60.61,low,1,1,61871
dongcheng,2,2,140.5,middle,1,1,92527
dongcheng,2,1,139.78,middle,1,1,89427
chaoyang,2,1,62.59,high,1,1,65506
chaoyang,3,1,136.64,middle,1,1,51962
chaoyang,3,2,136.64,low,1,1,50864
chaoyang,2,2,102.57,low,1,1,49723
chaoyang,4,1,184.33,high,1,1,48826
chaoyang,3,2,136.64,middle,1,1,47571
chaoyang,3,1,80,middle,1,0,60000
chaoyang,2,1,69.96,middle,1,0,58605
chaoyang,2,1,68.69,high,1,0,54594
chaoyang,2,1,59.61,high,1,0,55360
chaoyang,2,1,55.31,high,1,0,57675
chaoyang,3,1,65.64,high,1,0,53322
chaoyang,2,1,49.44,low,1,0,73827
chaoyang,2,1,81.53,middle,1,0,72980
chaoyang,2,1,49.93,low,1,0,72101
chaoyang,2,1,62.77,low,1,0,70098
chaoyang,3,1,81.02,middle,1,0,69119
chaoyang,2,1,54.21,middle,1,0,67331
chaoyang,2,1,53.65,high,1,0,65238
chaoyang,3,1,81.97,high,1,0,64658
chaoyang,2,1,54.61,middle,1,0,63176
chaoyang,2,1,53.99,middle,1,0,62975
chaoyang,2,1,54,high,1,0,62963
chaoyang,1,1,45.35,middle,1,0,61743
chaoyang,2,1,63.47,high,1,0,61447
chaoyang,2,1,54.01,low,1,0,61100
chaoyang,2,1,62.77,high,1,0,61017
chaoyang,3,1,74.95,middle,1,0,60041
chaoyang,2,1,56.02,high,1,0,59801
chaoyang,2,1,53.98,middle,1,0,59282
chaoyang,2,1,59.15,high,1,0,59172
chaoyang,2,1,54.21,high,1,0,59030
chaoyang,2,1,58.53,low,1,0,58090
chaoyang,1,1,58.56,low,1,0,58061
chaoyang,2,1,51.91,low,1,0,80910
chaoyang,3,1,71,high,1,0,71831
chaoyang,2,1,60,low,1,0,71667
chaoyang,3,1,78.54,high,1,0,70029
chaoyang,2,1,57.15,low,1,0,69117
chaoyang,3,1,76.09,middle,1,0,67026
chaoyang,2,1,56.99,middle,1,0,66679
chaoyang,2,1,58,high,1,0,66380
chaoyang,2,1,65,middle,1,0,66154
chaoyang,2,1,57.5,middle,1,0,66087
chaoyang,1,1,42,middle,1,0,65477
chaoyang,2,1,56.71,low,1,0,65245
chaoyang,2,1,57.5,middle,1,0,64348
chaoyang,2,1,65.64,low,1,0,64138
chaoyang,3,1,80.6,middle,1,0,62035
chaoyang,1,1,38.96,low,1,0,61602
chaoyang,1,1,38.52,low,1,0,61008
chaoyang,1,1,49.63,low,1,0,60448
chaoyang,2,1,59.55,high,1,0,59614
chaoyang,2,1,57.66,middle,1,0,58967
chaoyang,2,1,58.16,middle,1,0,57600
chaoyang,2,1,68.18,high,1,0,56469
chaoyang,1,1,38.99,middle,1,0,51296
dongcheng,3,1,108.21,low,1,0,80215
dongcheng,2,1,65.82,high,1,0,79004
dongcheng,1,1,47.6,middle,1,0,78782
dongcheng,2,1,65.82,low,1,0,72927
dongcheng,2,1,66,high,1,1,72728
dongcheng,2,1,65.82,middle,1,1,65330
chaoyang,3,2,196.31,low,1,0,76410
chaoyang,2,2,144.31,high,1,0,69296
chaoyang,3,2,196.31,high,1,0,69279
chaoyang,2,1,144,low,1,0,61667
chaoyang,4,2,204.38,middle,0,1,44036
chaoyang,3,2,137.36,middle,0,1,51689
chaoyang,2,2,109.79,high,0,1,51007
chaoyang,2,2,110.69,middle,0,1,50592
chaoyang,3,2,126,low,0,1,48889
chaoyang,3,2,136.82,low,0,1,47508
chaoyang,4,2,170.94,high,0,1,46801
chaoyang,2,1,107.34,low,0,1,46581
chaoyang,3,2,139,low,0,1,50360
chaoyang,3,2,224,high,0,1,36608
chaoyang,3,2,139.64,low,0,1,60871
chaoyang,3,2,144.7,low,0,1,55978
chaoyang,3,2,164.03,low,0,1,53040
chaoyang,3,2,143.32,middle,0,1,53029
chaoyang,3,2,141.87,middle,0,1,52866
chaoyang,3,2,164.36,middle,0,1,50499
chaoyang,3,2,139.85,middle,0,1,50054
chaoyang,3,3,221.27,low,0,1,44290
chaoyang,3,2,134.88,low,1,1,72658
chaoyang,3,2,144.18,high,1,1,70745
chaoyang,3,2,127.12,middle,1,1,69226
chaoyang,3,2,142.97,middle,1,1,68546
chaoyang,3,2,127.98,high,1,1,67198
chaoyang,3,2,180.56,low,1,1,64799
chaoyang,1,1,76,low,1,1,59211
chaoyang,2,2,126.8,middle,1,1,59937
chaoyang,2,2,138.26,low,1,1,91133
chaoyang,3,2,165.58,low,1,1,86968
chaoyang,2,2,134.86,low,1,1,85274
chaoyang,3,2,135,middle,1,1,72963
chaoyang,4,2,155.11,middle,1,1,88970
chaoyang,3,2,154.65,low,1,1,74362
chaoyang,2,2,109.25,low,1,1,64074
chaoyang,3,2,108.95,high,1,1,57642
chaoyang,2,1,79.27,middle,1,0,64968
chaoyang,2,2,86.8,middle,1,0,64517
chaoyang,1,2,57.5,low,1,0,64348
chaoyang,2,2,112.71,low,1,0,63881
chaoyang,3,2,130,high,1,0,63847
chaoyang,1,1,66.54,middle,1,0,63421
chaoyang,2,2,83,low,1,0,62651
chaoyang,3,2,91.12,middle,1,0,60909
chaoyang,3,2,146.71,low,1,0,59301
chaoyang,1,1,67,low,1,0,55971
shijingshan,1,1,48.6,high,0,0,41153
shijingshan,2,1,49.87,low,0,0,40105
shijingshan,2,1,43,middle,0,0,39535
shijingshan,2,1,48.6,low,0,0,38066
shijingshan,2,1,40.4,low,0,0,36634
shijingshan,2,1,70.35,middle,0,0,36390
shijingshan,3,1,49.5,high,0,0,33940
shijingshan,2,1,78.8,middle,0,0,32995
shijingshan,2,1,56.6,middle,0,0,31803
haidian,3,1,80.2,high,1,0,74813
haidian,1,1,45.9,low,1,0,62092
haidian,1,1,44.7,middle,1,0,58166
haidian,1,1,46,middle,1,0,57174
haidian,2,1,63,high,1,0,57143
haidian,3,1,86.43,middle,1,0,55768
haidian,2,1,66.4,low,1,0,54217
haidian,2,1,63,middle,1,0,53651
haidian,4,1,109,high,1,0,53212
haidian,2,1,67.3,low,1,0,53195
haidian,2,1,66.4,low,1,0,53013
haidian,2,1,66.5,middle,1,0,52632
haidian,2,1,66.4,low,1,0,50603
shijingshan,3,1,67,middle,1,0,35075
shijingshan,2,1,65.3,low,0,0,33691
shijingshan,2,1,65.24,low,0,0,45985
shijingshan,2,1,57.54,middle,1,0,39973
shijingshan,2,1,58.95,middle,1,0,39865
shijingshan,2,1,57.7,high,1,0,39862
shijingshan,3,1,68.43,middle,1,0,39457
shijingshan,2,1,61.3,middle,0,0,39152
shijingshan,2,0,55,middle,1,0,38182
shijingshan,1,1,44.01,low,0,0,38174
shijingshan,2,1,59,high,1,0,36950
shijingshan,2,1,59.88,low,1,0,36741
shijingshan,2,1,57.46,high,1,1,36548
shijingshan,1,1,44,high,0,0,36364
shijingshan,2,1,58.8,high,1,0,35715
shijingshan,2,1,59.88,low,1,0,35071
shijingshan,2,1,59.41,high,1,0,34506
shijingshan,2,1,69.13,high,0,0,33994
shijingshan,2,1,57.26,high,1,0,33182
shijingshan,2,0,58.41,middle,1,0,32187
shijingshan,2,1,165.88,low,1,0,28033
shijingshan,3,1,184.16,low,0,0,27151
shijingshan,1,1,33.46,low,1,0,46324
shijingshan,3,1,66,low,1,0,42425
shijingshan,1,1,36,low,1,0,38889
shijingshan,3,0,55,low,1,0,38182
shijingshan,3,1,69,middle,1,0,37682
shijingshan,1,1,36.65,high,1,0,36835
shijingshan,2,1,51.31,low,1,0,36056
shijingshan,1,1,36.3,high,1,0,35813
shijingshan,2,1,51,middle,1,0,35687
shijingshan,1,1,36.65,middle,1,0,35471
shijingshan,2,1,50.37,middle,1,0,35339
shijingshan,2,1,50.42,middle,1,0,35304
shijingshan,3,0,56.77,high,1,0,35230
shijingshan,2,1,54,low,1,0,35186
shijingshan,1,1,37,low,1,0,35136
shijingshan,2,1,50.39,high,1,0,35127
shijingshan,2,1,51,middle,1,0,34902
shijingshan,2,1,50.39,high,1,0,34730
shijingshan,2,1,66,middle,1,0,34697
shijingshan,2,1,56.7,high,1,0,34392
shijingshan,2,1,56.77,middle,1,0,34350
shijingshan,2,1,50,high,1,0,34000
shijingshan,2,1,56.55,low,1,0,33599
shijingshan,2,1,53.99,high,1,0,33340
shijingshan,2,1,52.5,high,1,0,33334
shijingshan,2,0,59,middle,1,0,33051
shijingshan,2,1,58.9,low,1,0,32938
shijingshan,3,1,70,high,1,0,32858
shijingshan,2,1,58.63,high,1,0,32407
shijingshan,2,1,54.03,high,1,0,32020
shijingshan,3,0,57.18,middle,1,0,31480
shijingshan,3,1,69,high,1,0,31160
shijingshan,2,1,65,high,1,0,30770
shijingshan,2,1,65.22,high,1,0,30666
shijingshan,3,1,68.41,high,1,0,29967
shijingshan,1,1,40,high,0,0,38000
shijingshan,1,1,53,high,0,0,37359
shijingshan,2,1,72.71,high,0,0,37134
shijingshan,1,1,58.25,middle,0,0,36910
shijingshan,1,1,55,middle,0,0,36000
shijingshan,2,1,58,high,0,0,31035
shijingshan,2,1,52.72,middle,1,0,34523
shijingshan,2,1,57.46,low,1,0,46120
shijingshan,3,1,89.3,low,1,0,40874
shijingshan,3,1,80.97,low,1,0,40756
shijingshan,1,1,53,high,1,0,40567
shijingshan,2,1,64.92,high,1,0,40050
shijingshan,2,1,57.46,high,1,0,39854
shijingshan,2,1,84.43,high,1,0,37902
shijingshan,3,1,90.07,high,1,0,37194
shijingshan,2,1,62,middle,1,0,36291
shijingshan,1,1,55.5,high,1,0,36037
shijingshan,2,1,57.97,middle,1,0,35881
shijingshan,1,1,46.4,middle,1,0,35561
shijingshan,2,1,79.29,high,1,0,35314
shijingshan,2,1,56.77,high,1,0,35230
shijingshan,3,1,110.9,middle,1,0,35167
shijingshan,2,1,85.36,low,1,0,34209
shijingshan,2,1,80.07,high,1,0,33721
shijingshan,2,1,81.96,middle,1,0,33553
shijingshan,1,1,55.77,middle,1,0,33172
shijingshan,2,1,80.07,high,1,0,32472
shijingshan,2,1,81.09,high,1,0,29351
shijingshan,2,1,61.38,high,1,0,43337
shijingshan,2,1,57.64,high,1,0,38168
shijingshan,2,1,61.8,low,1,0,37703
shijingshan,2,1,63.58,low,1,0,36962
shijingshan,2,1,56.82,high,1,0,36079
shijingshan,2,0,53.95,high,1,0,35589
shijingshan,2,1,66.4,middle,1,1,35392
shijingshan,1,1,46.68,low,1,0,35348
shijingshan,2,0,46,high,1,0,34783
shijingshan,3,0,86.6,high,1,0,34643
shijingshan,3,1,124,high,1,0,32259
shijingshan,3,0,84.61,middle,1,0,31912
shijingshan,2,0,54.04,middle,1,0,28128
shijingshan,2,1,54.52,low,1,0,42187
shijingshan,2,1,58,high,1,0,41380
shijingshan,2,1,58.76,high,1,0,40845
shijingshan,2,1,59,low,1,0,39831
shijingshan,2,1,58,low,1,0,38794
shijingshan,2,1,58.08,high,1,0,38740
shijingshan,2,1,58.3,high,1,0,38594
shijingshan,2,1,60.93,middle,1,0,38569
shijingshan,2,1,57.61,middle,1,0,38188
shijingshan,2,1,59,high,1,0,38136
shijingshan,1,1,50,high,1,0,38000
