subscriberID,churn,gender,AGE,edu_class,incomeCode,duration,feton,peakMinAv,peakMinDiff,posTrend,negTrend,nrProm,prom,curPlan,avgplan,planChange,posPlanChange,negPlanChange,call_10086
19164958.000000,1.000000,0.000000,20.000000,2.000000,12.000000,16.000000,0.000000,113.666667,-8.000000,0.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
39244924.000000,1.000000,1.000000,20.000000,0.000000,21.000000,5.000000,0.000000,274.000000,-371.000000,0.000000,1.000000,2.000000,1.000000,3.000000,2.000000,2.000000,1.000000,0.000000,1.000000
39578413.000000,1.000000,0.000000,11.000000,1.000000,47.000000,3.000000,0.000000,392.000000,-784.000000,0.000000,1.000000,0.000000,0.000000,3.000000,3.000000,0.000000,0.000000,0.000000,1.000000
40992265.000000,1.000000,0.000000,43.000000,0.000000,4.000000,12.000000,0.000000,31.000000,-76.000000,0.000000,1.000000,2.000000,1.000000,3.000000,3.000000,0.000000,0.000000,0.000000,1.000000
43061957.000000,1.000000,1.000000,60.000000,0.000000,9.000000,14.000000,0.000000,129.333333,-334.000000,0.000000,1.000000,0.000000,0.000000,3.000000,3.000000,0.000000,0.000000,0.000000,0.000000
47196850.000000,0.000000,0.000000,20.000000,2.000000,24.000000,9.000000,1.000000,281.333333,309.000000,1.000000,0.000000,0.000000,0.000000,2.000000,2.000000,0.000000,0.000000,0.000000,1.000000
51236987.000000,1.000000,1.000000,17.000000,2.000000,13.000000,5.000000,0.000000,348.333333,-29.000000,0.000000,1.000000,1.000000,1.000000,3.000000,3.000000,0.000000,0.000000,0.000000,1.000000
51326773.000000,1.000000,1.000000,45.000000,2.000000,52.000000,7.000000,1.000000,214.500000,-119.000000,0.000000,1.000000,0.000000,0.000000,3.000000,3.000000,0.000000,0.000000,0.000000,1.000000
54271247.000000,1.000000,1.000000,36.000000,0.000000,56.000000,5.000000,0.000000,156.666667,55.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000
70765025.000000,1.000000,1.000000,17.000000,2.000000,21.000000,17.000000,1.000000,26.666667,-63.000000,0.000000,1.000000,3.000000,1.000000,3.000000,3.000000,0.000000,0.000000,0.000000,0.000000
70781923.000000,0.000000,1.000000,10.000000,1.000000,36.000000,10.000000,1.000000,255.000000,-105.000000,0.000000,1.000000,3.000000,1.000000,3.000000,3.000000,0.000000,0.000000,0.000000,1.000000
70782614.000000,0.000000,0.000000,15.000000,1.000000,25.000000,21.000000,1.000000,309.666667,74.000000,1.000000,0.000000,0.000000,0.000000,4.000000,4.000000,0.000000,0.000000,0.000000,1.000000
70797166.000000,0.000000,0.000000,43.000000,1.000000,30.000000,10.000000,1.000000,199.666667,-122.000000,0.000000,1.000000,3.000000,1.000000,3.000000,3.000000,0.000000,0.000000,0.000000,0.000000
70992941.000000,1.000000,0.000000,59.000000,3.000000,32.000000,16.000000,0.000000,261.000000,-22.000000,0.000000,1.000000,0.000000,0.000000,3.000000,3.000000,0.000000,0.000000,0.000000,0.000000
70995813.000000,0.000000,1.000000,11.000000,0.000000,51.000000,24.000000,1.000000,196.000000,48.000000,1.000000,0.000000,0.000000,0.000000,3.000000,3.000000,0.000000,0.000000,0.000000,1.000000
71000813.000000,0.000000,1.000000,41.000000,3.000000,1.000000,15.000000,1.000000,228.333333,-4.000000,0.000000,1.000000,0.000000,0.000000,3.000000,3.000000,0.000000,0.000000,0.000000,0.000000
71001054.000000,1.000000,0.000000,35.000000,0.000000,58.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000
71008771.000000,1.000000,1.000000,38.000000,1.000000,34.000000,4.000000,1.000000,150.666667,-452.000000,0.000000,1.000000,1.000000,1.000000,3.000000,3.000000,0.000000,0.000000,0.000000,1.000000
71011165.000000,1.000000,0.000000,18.000000,0.000000,15.000000,8.000000,0.000000,108.333333,-40.000000,0.000000,1.000000,0.000000,0.000000,3.000000,3.000000,0.000000,0.000000,0.000000,0.000000
71014528.000000,0.000000,1.000000,46.000000,0.000000,15.000000,23.000000,0.000000,168.333333,-100.000000,0.000000,1.000000,0.000000,0.000000,3.000000,3.000000,0.000000,0.000000,0.000000,1.000000
71015314.000000,1.000000,0.000000,17.000000,1.000000,19.000000,5.000000,0.000000,85.333333,-51.000000,0.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000
71021280.000000,1.000000,0.000000,43.000000,1.000000,25.000000,3.000000,0.000000,298.000000,46.000000,1.000000,0.000000,0.000000,0.000000,3.000000,3.000000,0.000000,0.000000,0.000000,1.000000
71034839.000000,0.000000,1.000000,47.000000,1.000000,4.000000,27.000000,1.000000,423.000000,290.000000,1.000000,0.000000,3.000000,1.000000,3.000000,3.000000,0.000000,0.000000,0.000000,1.000000
71039751.000000,0.000000,0.000000,47.000000,0.000000,44.000000,8.000000,1.000000,330.666667,130.000000,1.000000,0.000000,0.000000,0.000000,3.000000,3.000000,0.000000,0.000000,0.000000,1.000000
71042016.000000,0.000000,0.000000,16.000000,1.000000,31.000000,12.000000,0.000000,279.000000,-46.000000,0.000000,1.000000,0.000000,0.000000,3.000000,3.000000,0.000000,0.000000,0.000000,1.000000
71052536.000000,0.000000,0.000000,41.000000,1.000000,5.000000,20.000000,0.000000,353.333333,-3.000000,0.000000,1.000000,0.000000,0.000000,3.000000,3.000000,0.000000,0.000000,0.000000,0.000000
